_id,tracking_number,carrier,scans[0].timestamp,scans[1].timestamp,scans[0].scan,scans[1].scan
67d7c107380fe7c6439a23f7,1Z236V396898770270,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-27T10:17:53.000Z,2024-12-27T11:11:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23f9,H00FRA0002184803,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T10:34:58.000Z,2025-01-04T16:28:29.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23fb,H00FFA0003191829,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T11:51:05.000Z,2025-01-02T13:35:41.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2400,H00FFA0003191843,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T12:19:05.000Z,2025-01-02T12:27:07.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2403,H00FRA0002184942,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T11:29:13.000Z,2025-01-04T14:49:43.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2408,H00FFA0003193532,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T12:16:47.000Z,2025-01-04T15:28:13.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a240b,H00FRA0002184966,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T12:01:04.000Z,2025-01-04T12:30:45.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a240e,1Z7E524X0497749549,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-18T18:00:39.000Z,2024-12-19T07:43:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2410,1Z61A84F0411234754,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-26T22:39:02.000Z,2024-12-27T10:10:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2415,9ca4abc6-f987-4bbb-814e-4ce4e9689b0e-52191,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-10-02T10:30:00.000Z,2024-10-02T13:10:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
